iter	Passed	Remaining
1463	150730	362927
1464	150845	362853
1465	150946	362744
1466	151043	362627
1467	151149	362532
1468	151256	362439
1469	151339	362287
1470	151442	362185
1471	151574	362152
1472	151685	362067
1473	151792	361973
1474	151894	361868
1475	152001	361775
1476	152132	361739
1477	152241	361651
1478	152352	361566
1479	152475	361510
1480	152566	361380
1481	152683	361309
1482	152783	361200
1483	152886	361097
1484	152974	360958
1485	153073	360845
1486	153180	360752
1487	153285	360653
1488	153394	360565
1489	153494	360453
1490	153603	360366
1491	153730	360318
1492	153814	360170
1493	153895	360017
1494	154008	359936
1495	154106	359822
1496	154190	359674
1497	154304	359597
1498	154397	359470
1499	154483	359328
1500	154566	359180
1501	154660	359056
1502	154757	358937
1503	154846	358804
1504	154940	358680
1505	155045	358582
1506	155166	358518
1507	155258	358391
1508	155353	358270
1509	155466	358190
1510	155573	358096
1511	155684	358011
1512	155763	357855
1513	155846	357705
1514	155958	357623
1515	156065	357530
1516	156177	357447
1517	156264	357307
1518	156379	357231
1519	156480	357126
1520	156603	357069
1521	156708	356970
1522	156794	356828
1523	156884	356694
1524	156993	356607
1525	157118	356553
1526	157215	356436
1527	157309	356315
1528	157407	356199
1529	157507	356091
1530	157614	355995
1531	157733	355930
1532	157829	355811
1533	157936	355717
1534	158036	355608
1535	158145	355517
1536	158265	355453
1537	158398	355417
1538	158490	355291
1539	158597	355196
1540	158696	355084
1541	158793	354969
1542	158890	354851
1543	159010	354786
1544	159111	354678
1545	159189	354521
1546	159272	354373
1547	159378	354278
1548	159492	354198
1549	159599	354103
1550	159713	354025
1551	159795	353876
1552	159900	353779
1553	160023	353719
1554	160122	353609
1555	160241	353541
1556	160353	353457
1557	160451	353343
1558	160558	353249
1559	160671	353169
1560	160787	353094
1561	160877	352962
1562	160973	352843
1563	161072	352732
1564	161155	352585
1565	161268	352503
1566	161369	352397
1567	161466	352281
1568	161559	352157
1569	161655	352038
1570	161757	351933
1571	161859	351827
1572	161942	351681
1573	162056	351603
1574	162167	351516
1575	162293	351464
1576	162382	351330
1577	162523	351309
1578	162634	351223
1579	162723	351091
1580	162809	350950
1581	162897	350817
1582	163022	350760
1583	163156	350725
1584	163261	350625
1585	163387	350573
1586	163490	350469
1587	163603	350388
1588	163702	350275
1589	163801	350164
1590	163915	350085
1591	164004	349951
1592	164121	349878
1593	164228	349783
1594	164306	349628
1595	164415	349537
1596	164512	349421
1597	164619	349327
1598	164724	349228
1599	164841	349154
1600	164954	349072
1601	165051	348957
1602	165161	348868
1603	165257	348751
1604	165348	348622
1605	165447	348510
1606	165533	348371
1607	165639	348275
1608	165750	348190
1609	165851	348082
1610	165937	347943
1611	166028	347815
1612	166119	347686
1613	166230	347601
1614	166328	347486
1615	166428	347378
1616	166520	347251
1617	166616	347135
1618	166708	347010
1619	166799	346881
1620	166899	346772
1621	167012	346689
1622	167112	346580
1623	167221	346490
1624	167324	346387
1625	167406	346240
1626	167514	346147
1627	167626	346063
1628	167735	345974
1629	167847	345888
1630	167940	345766
1631	168043	345662
1632	168145	345558
1633	168242	345442
1634	168344	345337
1635	168431	345202
1636	168527	345085
1637	168633	344988
1638	168736	344885
1639	168851	344806
1640	168960	344716
1641	169052	344590
1642	169144	344466
1643	169267	344403
1644	169397	344354
1645	169503	344258
1646	169609	344161
1647	169703	344040
1648	169820	343965
1649	169926	343870
1650	170043	343795
1651	170132	343662
1652	170229	343547
1653	170338	343456
1654	170446	343364
1655	170563	343289
1656	170658	343170
1657	170762	343069
1658	170843	342921
